Thread ID: 2177716020
Total: 6.421089

 %self     total     self     wait    child    calls  name


Thread ID: 2172398400
Total: 6.139684

 %self     total     self     wait    child    calls  name


Thread ID: 2172310840
Total: 2.915911

 %self     total     self     wait    child    calls  name


Thread ID: 2172033640
Total: 2.713558

 %self     total     self     wait    child    calls  name


Thread ID: 2148303280
Total: 6.675153

 %self     total     self     wait    child    calls  name
  0.16      0.29     0.01     0.00     0.27     1861  Class#new(d2)
  0.16      1.11     0.01     0.00     1.10      539  Hash#each
  0.15      0.01     0.01     0.00     0.00      811  REXML::Child#parent=
  0.14      0.02     0.01     0.00     0.01      898  Set#initialize
  0.14      0.20     0.01     0.00     0.19      449  REXML::Element#add_element
  0.14      0.02     0.01     0.00     0.02      449  REXML::Elements#add(d1)
  0.13      0.01     0.01     0.00     0.00     2490  Regexp#===
  0.13      0.01     0.01     0.00     0.00      351  REXML::Element#whitespace
  0.13      0.01     0.01     0.00     0.00     3431  Hash#[]
  0.13      0.01     0.01     0.00     0.00     1643  REXML::Source#empty?
  0.12      0.01     0.01     0.00     0.00     4263  String#size
  0.11      0.08     0.01     0.00     0.07      449  REXML::Elements#add
  0.10      0.01     0.01     0.00     0.00     1990  Kernel#===
  0.10      0.01     0.01     0.00     0.00     3346  <Class::Object>#allocate
  0.09      0.01     0.01     0.00     0.00      500  String#scan
  0.09      0.01     0.01     0.00     0.00      371  IO#read
  0.09      0.02     0.01     0.00     0.01      192  REXML::Parsers::XPathParser#PrimaryExpr
  0.08      0.01     0.01     0.00     0.00     3056  Fixnum#<
  0.08      0.25     0.01     0.00     0.25      269  REXML::Attributes#namespaces
  0.07      0.49     0.01     0.00     0.49      600  REXML::XPathParser#d_o_s(d8)
  0.07      0.01     0.00     0.00     0.01      248  <Class::REXML::Text>#unnormalize
  0.07      0.00     0.00     0.00     0.00     1953  Array#+
  0.07      0.02     0.00     0.00     0.01      449  Set#each
  0.07      3.72     0.00     0.00     3.71       90  Array#each_index(d3)
  0.07      0.00     0.00     0.00     0.00     1961  Hash#[]=
  0.07      0.03     0.00     0.00     0.02      475  REXML::Child#initialize
  0.07      0.02     0.00     0.00     0.01       87  REXML::XPathParser#equality_relational_compare
  0.07      0.01     0.00     0.00     0.00       59  REXML::Parsers::XPathParser#parse_args
  0.07      0.01     0.00     0.00     0.01      434  REXML::Parent#<<
  0.07      0.01     0.00     0.00     0.01       76  Kernel#eval
  0.07      0.99     0.00     0.00     0.99       68  <Class::REXML::XPath>#each(d1)
  0.07      0.01     0.00     0.00     0.00       23  <Class::Thread>#start
  0.06      0.00     0.00     0.00     0.00     1737  <Class::Hash>#allocate
  0.06      0.17     0.00     0.00     0.16       97  REXML::Parsers::XPathParser#UnaryExpr
  0.06      0.00     0.00     0.00     0.00       23  IO#sysread
  0.06      0.01     0.00     0.00     0.00      775  REXML::Parent#[]
  0.06      0.01     0.00     0.00     0.01      366  REXML::Parent#add
  0.06      0.02     0.00     0.00     0.02      192  REXML::Parsers::XPathParser#FilterExpr
  0.06      0.00     0.00     0.00     0.00     2099  Fixnum#+
  0.06      0.03     0.00     0.00     0.03       95  REXML::Parsers::XPathParser#UnaryExpr(d1)
  0.06      0.03     0.00     0.00     0.03      464  REXML::Parent#initialize
  0.06      0.01     0.00     0.00     0.01      174  <Module::REXML::Functions>#string
  0.05      0.16     0.00     0.00     0.15       97  REXML::Parsers::XPathParser#PathExpr
  0.05      5.46     0.00     0.00     5.45      451  Hash#each_key
  0.05      0.02     0.00     0.00     0.02       95  REXML::Parsers::XPathParser#PathExpr(d1)
  0.05      3.55     0.00     0.00     3.55       90  Array#each_index(d4)
  0.05      3.86     0.00     0.00     3.85       10  Array#each_index(d2)
  0.05      0.00     0.00     0.00     0.00      655  Set#member?
  0.05      0.01     0.00     0.00     0.01       16  <Class::Net::HTTPResponse>#each_response_header
  0.05      0.17     0.00     0.00     0.17       97  REXML::Parsers::XPathParser#MultiplicativeExpr
  0.05      0.04     0.00     0.00     0.04       95  REXML::Parsers::XPathParser#RelationalExpr(d1)
  0.05      0.23     0.00     0.00     0.23      485  REXML::Document#root
  0.05      0.04     0.00     0.00     0.03       95  REXML::Parsers::XPathParser#MultiplicativeExpr(d1)
  0.05      0.18     0.00     0.00     0.18       97  REXML::Parsers::XPathParser#RelationalExpr
  0.05      0.17     0.00     0.00     0.17       97  REXML::Parsers::XPathParser#AdditiveExpr
  0.05      0.16     0.00     0.00     0.16       97  REXML::Parsers::XPathParser#UnionExpr
  0.05      0.18     0.00     0.00     0.18       97  REXML::Parsers::XPathParser#EqualityExpr
  0.04      0.04     0.00     0.00     0.04       95  REXML::Parsers::XPathParser#AdditiveExpr(d1)
  0.04      0.00     0.00     0.00     0.00       16  TCPSocket#initialize
  0.04      0.19     0.00     0.00     0.19       97  REXML::Parsers::XPathParser#OrExpr
  0.04      0.09     0.00     0.00     0.09       77  REXML::Parsers::XPathParser#Predicate
  0.04      0.19     0.00     0.00     0.18       97  REXML::Parsers::XPathParser#AndExpr
  0.04      0.00     0.00     0.00     0.00      797  String#gsub!
  0.04      3.42     0.00     0.00     3.41       70  Array#each_index(d5)
  0.04      1.22     0.00     0.00     1.22      330  REXML::XPathParser#d_o_s(d7)
  0.04      0.27     0.00     0.00     0.26      121  REXML::Element#attribute
  0.04      0.03     0.00     0.00     0.02       95  REXML::Parsers::XPathParser#UnionExpr(d1)
  0.04      0.00     0.00     0.00     0.00     1399  Kernel#instance_of?
  0.04      0.00     0.00     0.00     0.00     1290  Array#replace
  0.04      0.00     0.00     0.00     0.00     1056  String#strip
  0.04      0.00     0.00     0.00     0.00     1516  String#length
  0.04      0.05     0.00     0.00     0.04       77  REXML::Parsers::XPathParser#EqualityExpr(d1)
  0.04      0.00     0.00     0.00     0.00      536  REXML::Attribute#element=
  0.04      0.00     0.00     0.00     0.00      464  REXML::Attributes#initialize
  0.04      0.00     0.00     0.00     0.00     1238  Hash#default
  0.04      0.00     0.00     0.00     0.00       26  Kernel#gem_original_require
  0.04      0.02     0.00     0.00     0.01       99  REXML::Text#value
  0.04      0.00     0.00     0.00     0.00       53  XmlSimple#merge
  0.04      0.15     0.00     0.00     0.14       97  REXML::Parsers::XPathParser#LocationPath
  0.04      0.05     0.00     0.00     0.05       77  REXML::Parsers::XPathParser#AndExpr(d1)
  0.03      0.05     0.00     0.00     0.05       77  REXML::Parsers::XPathParser#OrExpr(d1)
  0.03      1.00     0.00     0.00     1.00      305  Class#new
  0.03      0.02     0.00     0.00     0.02      147  Net::BufferedIO#readuntil
  0.03      0.01     0.00     0.00     0.00      222  <Class::Object>#method_added
  0.03      0.00     0.00     0.00     0.00      293  Set#<<
  0.03      0.02     0.00     0.00     0.02       60  REXML::Element#namespace(d7)
  0.03      0.00     0.00     0.00     0.00      344  Hash#merge
  0.03      0.00     0.00     0.00     0.00      222  <Class::Object>#hpricot_slate_method_added
  0.03      0.01     0.00     0.00     0.01       74  ActiveFedora::MetadataDatastream#field
  0.03      0.00     0.00     0.00     0.00      903  Array#concat
  0.03      0.00     0.00     0.00     0.00      464  REXML::Elements#initialize
  0.03      0.02     0.00     0.00     0.02       39  <Module::Timeout>#timeout
  0.03      0.19     0.00     0.00     0.19       97  REXML::Parsers::XPathParser#parse
  0.03      0.00     0.00     0.00     0.00      118  REXML::Element#root(d7)
  0.03      0.00     0.00     0.00     0.00      929  Hash#initialize
  0.03      0.00     0.00     0.00     0.00      163  Net::BufferedIO#rbuf_consume
  0.03      0.05     0.00     0.00     0.05      329  REXML::Attributes#each_attribute
  0.03      0.99     0.00     0.00     0.99       68  REXML::Elements#each(d1)
  0.03      0.00     0.00     0.00     0.00       23  Thread#kill
  0.02      0.00     0.00     0.00     0.00      771  String#to_s
  0.02      0.00     0.00     0.00     0.00      115  Net::HTTPHeader#add_field
  0.02      0.04     0.00     0.00     0.04       37  XmlSimple#collapse(d1)
  0.02      0.00     0.00     0.00     0.00      854  Array#pop
  0.02      0.26     0.00     0.00     0.26       87  REXML::Element#namespaces
  0.02      0.00     0.00     0.00     0.00      620  Symbol#to_s
  0.02      0.02     0.00     0.00     0.02      119  REXML::Element#text
  0.02      0.02     0.00     0.00     0.02       39  Object#timeout
  0.02      0.23     0.00     0.00     0.23       87  REXML::Element#namespaces(d1)
  0.02      0.00     0.00     0.00     0.00      842  Array#push
  0.02      0.00     0.00     0.00     0.00      318  Array#each(d3)
  0.02      0.00     0.00     0.00     0.00      119  REXML::Element#get_text
  0.02      0.08     0.00     0.00     0.08       20  Array#each_index(d9)
  0.02      0.01     0.00     0.00     0.01       40  REXML::Element#namespace(d8)
  0.02      0.00     0.00     0.00     0.00       97  REXML::XPathParser#initialize
  0.02      0.20     0.00     0.00     0.20       87  REXML::Element#namespaces(d2)
  0.02      5.58     0.00     0.00     5.58       21  <Class::REXML::XPath>#each
  0.02      0.00     0.00     0.00     0.00      536  Hash#store
  0.02      0.00     0.00     0.00     0.00       26  Proc#[]
  0.02      0.00     0.00     0.00     0.00        7  XmlSimple#handle_options
  0.02      0.01     0.00     0.00     0.00      136  Array#map
  0.02      0.03     0.00     0.00     0.03       30  Array#each_index(d10)
