measurement,created_at,app,rails,ruby,platform
0,2010-02-07T09:56:52Z,master.5f87939,2.3.4,ruby-1.8.7.174,i686-darwin10
0,2010-02-07T09:58:33Z,master.5f87939,2.3.4,ruby-1.8.7.174,i686-darwin10
0,2010-02-07T10:00:19Z,master.5f87939,2.3.4,ruby-1.8.7.174,i686-darwin10
0,2010-02-07T10:02:45Z,master.5f87939,2.3.4,ruby-1.8.7.174,i686-darwin10
0,2010-02-07T10:29:30Z,master.5f87939,2.3.4,ruby-1.8.7.174,i686-darwin10
